word	tags	comments
HARASSMENT	Neg Noun Other Hostile Intrel Exert 	
HIT	DAV Neg SUPV Exert Hostile Ngtv Strng Actv PFREQ 	verb: To strike or collide against, present and past tense 
HUNT	Neg Noun Ngtv Hostile Actv Exert 	1% noun: A chasing and killing of animals; a searching out (0) 
HUNT	IAV Neg SUPV Ngtv Actv Hostile PFREQ Exert 	94% verb: To chase and kill animals; to search out (14) 
HUNT	Neg Modif Ngtv Actv Exert 	5% adj: "Hunting"--related to searching out 
HURRY	IAV SUPV Exert Actv 	48% verb: To rush or cause to rush 
HURTLE	IAV SUPV Exert Actv 	
IMPEL	IAV SUPV Exert Power Strng Actv 	
INFLICT	IAV Neg SUPV Actv Other Exert 	
INTERCEDE	IAV Pos SUPV Actv Exert Intrel 	
INTERPOSE	IAV Pos SUPV Actv Exert Intrel 	
INTERVENE	IAV Actv Exert Intrel 	
ISSUE	IAV SUPV Exert Strng Actv 	4% verb: To go, pass, or flow out, come forth, discharge, emit 
JAR	IAV Neg SUPV Exert Ngtv Actv Strng 	
JERK	IAV Neg SUPV Exert Hostile Ngtv Strng Actv 	
KICK	DAV Neg SUPV Exert Hostile Strng Actv Ngtv 	75% verb: To strike with one's foot 
KICK	Neg Noun Strng Actv Hostile Ngtv Exert 	3% noun: The act of, or the blow from kicking 
KNIFE	DAV Neg SUPV Exert Hostile Ngtv Strng 	3% verb: To stab 
KNOCK	Neg Noun Hostile Ngtv Actv Strng Exert 	21% noun: A blow, rap, rattling, beating, or rapping; criticism (0) 
LIGHT	DAV SUPV Exert Actv 	10% verb: To ignite, turn on 
LIT	SV SUPV Exert ED Actv 	
MANGLE	IAV Neg SUPV Actv Exert Hostile Other 	
MAR	Neg SUPV Exert Hostile Ngtv Strng Actv 	
MASSACRE	IAV Neg SUPV Finish Hostile Actv Exert 	
MUFFLE	IAV SUPV Exert Power Strng Actv 	
MUSTER	IAV SUPV Exert Strng Actv 	
OVERPOWER	IAV Neg SUPV Actv Other Power Strng Exert 	
OVERRUN	IAV Neg SUPV Actv Other Power Strng Exert 	
OVERTHROW	IAV Neg SUPV Actv Other Power Strng Exert 	
PENETRATE	IAV SUPV Strng Actv Hostile Exert 	
PINCH	DAV Neg SUPV Exert Hostile Ngtv Actv 	
PITCH	DAV SUPV Exert Actv 	
PLAY	DAV SUPV Exert Exprs Actv 	87% verb: To perform some activity for recreation--playing games, sports,  also, playing a musical instrument (27) 
POUND	DAV Neg SUPV Exert Hostile Ngtv Strng Actv 	27% verb: To strike heavily or repeatedly, pommel 
PRESS	DAV SUPV Exert Strng Actv 	43% verb: To exert pressure physically or verbally 
PRESSURE	IAV SUPV Exert Power Strng Actv 	14% verb: To attempt to influence or force 
PROACTIVE	IndAdj Pos Modif Actv Strng Exert 	
PROSECUTE	IAV Pos SUPV Actv Other Legal Exert 	
PRY	IAV Neg SUPV Intrel Comform Exert 	
PULL	IAV SUPV Strng Actv Exert 	verb: To tug at, draw, drag, move 
PUNCH	IAV Neg SUPV Actv Other Hostile Exert 	
PUSH	DAV Neg SUPV Exert Ngtv Strng Actv PFREQ 	89% verb-adj: To exert force or pressure on something (or someone) in  order to move it (them) 
PUSH	Neg Modif Ngtv Strng Actv Exert 	5% noun: A shove, or the act of shoving ("pushing") 
RATTLE	IAV Neg SUPV Exert Ngtv Strng 	
RECLAIM	IAV Pos SUPV Actv Fetch Power Comform Exert 	
RETALIATE	IAV Neg SUPV Actv Hostile Intrel Exert 	
RETARD	IAV Neg SUPV Actv Hostile Exert 	
RIP	DAV Neg SUPV Ngtv Strng Actv Exert Hostile 	
ROCK	DAV SUPV Exert Actv 	1% verb: To move back and forth 
ROOT	IAV Neg SUPV Hostile Ngtv Strng Actv Exert 	0% idiom-verb: To "root out", to extirpate 
ROUSE	IAV Pos SUPV Actv Exert Intrel Causal 	
ROW	DAV SUPV Exert Exprs Actv 	
RUPTURE	DAV Neg SUPV Hostile Ngtv Weak Exert 	
SABOTAGE	IAV Neg SUPV Actv Hostile Other Exert 	
SCATTER	IAV SUPV Exert Actv Strng 	
SCORCH	IAV Neg SUPV Hostile Exert Actv 	
SCUFFLE	Neg Noun Intrel Hostile Exert 	
SHAKE	DAV Neg SUPV Exert Ngtv Actv PFREQ 	86% verb: To rapidly move back and forth; abstract--to loosen, weaken,  disrupt, upset (2) 
SHATTER	DAV SUPV Exert Hostile Strng Actv 	
SHOOT	DAV Neg SUPV Exert Hostile Ngtv Strng Actv 	68% verb: To send forth or discharge a projectile, generally with a gun,  in order to hit or damage some object; to take pictures (0) 
SHOT	DAV Neg SUPV ED Exert Hostile Ngtv Strng Actv 	81% verb: Past participle of "shoot"--to launch or discharge a projectile; 
SHOULDER	IAV SUPV Exert Strng Actv 	15% verb: To take upon, to support or carry, to apply the shoulder 
SHOVE	DAV Neg SUPV Actv Hostile Exert 	
SHRED	IAV Neg SUPV Actv Hostile Exert Decr 	
SKIRMISH	Neg Noun Hostile Intrel Exert 	
SLAM	IAV Neg SUPV Exert Hostile Ngtv Strng Actv 	
SLAP	DAV Neg SUPV Actv Exert Hostile 	
SLASH	DAV Neg SUPV Hostile Ngtv Strng Actv Exert 	
SLAUGHTER	IAV Neg SUPV Natpro Finish Hostile Exert Actv 	
SMACK	IAV Neg SUPV Actv Hostile Exert 	
SMASH	DAV Neg SUPV Exert Hostile Ngtv Strng Actv PFREQ 	85% verb: To strike violently, shatter, destroy 
SMASH	Neg Noun Hostile Ngtv Strng Actv Exert 	10% noun: A violent blow, a crash 
SNAP	Noun Exert 	
SNAP	DAV SUPV Actv Exert 	
SPANK	DAV Neg SUPV Actv Exert Hostile 	
SPEAR	DAV Neg SUPV Exert Hostile Ngtv Strng Actv 	12% verb: To lance someone, or something 
SPLIT	DAV SUPV Strng Actv Exert Hostile 	68% verb: To divide or to cut apart 
SPOIL	IAV Neg SUPV Ngtv Exert Hostile 	
