word	tags	comments
JUNTA	Noun HU COLL POLIT Legal Polit* Power 	
JURISDICTION	Noun Doctr POLIT Legal Polit* Power Strng 	
JUROR	Noun HU Legal Power Strng Role 	
JURY	Noun HU COLL POLIT Legal Power Strng 	
JUST	Pos Modif Virtue Legal Pstv 	1% adj: Fair, equitable, rightful 
JUST	Pos LY Virtue Legal Pstv 	0% adv: "Justly"--fairly, equitably, rightfully 
JUSTICE	Pos Noun ABS Abs* POLIT Doctr Legal Power Pstv 	
KIDNAP	IAV Neg SUPV Legal Hostile Fetch Other Actv 	
LAW	Pos Noun Doctr POLIT Legal Pstv 	noun adjective: The set of rules set up in a society and enforced by its  government; any set of rules governing a given system, such as those of  science (1); related compounds, treated by g.i. as separate words, are  listed below but not handled. 
LAWFUL	IndAdj Pos Modif Legal Virtue 	
LAWLESS	IndAdj Neg Modif Legal Hostile 	
LAWYER	Noun HU Legal Role 	noun: A person whose profession is to conduct lawsuits for clients in  a court of law or advise them in other legal matters. 
LEGAL	Pos Modif ECON POLIT Doctr Legal Pstv 	
LEGISLATION	Noun Doctr POLIT Legal Polit* Power Strng 	noun: A law or body of laws enacted 
LEGISLATIVE	Modif Doctr POLIT Legal Polit* Strng Power 	
LEGISLATOR	Noun HU POLIT Legal Power Strng Role Polit* 	
LEGITIMACY	Pos Noun Legal Virtue 	
LEGITIMATE	Pos Modif Virtue Legal Pstv 	
LICENSE	Noun Object COM Legal Comnobj 	
LITIGANT	Noun HU Hostile Legal Role 	
LITIGATION	Noun ECON POLIT Doctr Hostile Legal 	
MANSLAUGHTER	Neg Noun Hostile Legal Ngtv Vice 	
MARSHALL	Noun HU POLIT Legal Power Role 	
NEGLIGENCE	Neg Noun Causal Eval Legal Vice 	
NEGLIGENT	IndAdj Neg Modif Causal Legal Eval Vice 	
OATH	Noun COM Comform Legal 	
OFFICIAL	Noun HU POLIT Power Legal Strng Role 	69% noun: A person granted some authority 
OFFICIAL	LY Doctr Legal Strng 	3% adv: "Officially"--formally, authoritatively 
OFFICIAL	Modif Doctr Legal Strng 	28% adj: Authoritative, formal, adopted by the government in power 
OFFICIATE	IAV SUPV Intrel Power Legal Strng 	
ORDINANCE	Noun COM Comform Legal Power Strng 	
OUTLAW	Neg Noun HU Legal Hostile 	
OVERTURN	IAV Neg SUPV Actv Think Legal Change 	
OWNER	Noun HU ECON Legal Strng Role 	noun: One who owns, a proprietor 
PASS	IAV SUPV Work Legal Strng Actv 	4% verb: To ratify or be ratified--"to pass a law" 
PATENT	Noun Object COM ECON Legal Comnobj Ovrst 	
PENALTY	Noun Vice Hostile Legal 	
PERMIT	Noun Object COM Legal Comnobj Power 	6% noun: A written license 
PLAINTIFF	Neg Noun Legal Comform 	
POLICE	Noun HU COLL POLIT Legal Power Strng 	noun-adjective: Of or pertaining to officers of the law. 
POLICEMAN	Noun HU MALE POLIT Legal Power Strng Role 	
POLICEMEN	Noun HU MALE POLIT S Legal Power Strng Role 	
POLLUTE	IAV Neg SUPV Actv Legal Hostile 	
POSSE	Noun HU COLL Legal Power Hostile Strng 	
PRECEDENT	Pos Noun Legal Causal 	
PRINCIPLE	Pos Noun Doctr Legal Pstv 	92% noun: Law of moral conduct or physical occurrence 
PRISON	Neg Noun PLACE Social POLIT Legal Ngtv PFREQ 	90% noun-adjective: A place for punitive confinement 
PRISON	Neg Noun PLACE Social POLIT Ngtv Legal 	10% idiom-noun-adj: "Prison camp"--a place for military confinement of  enemy armed forces 
PRISONER	Neg Noun HU Legal Subm Ngtv Weak Psv Role 	
PRIVATE	Noun HU Legal Role 	3% idiom-noun: "Private eye," "private detective" 
PROBATION	Noun Doctr Legal 	
PROCEED	Noun Ritual Legal 	10% noun: "Proceedings"--a transaction, the course of procedure 
PROHIBIT	IAV Neg SUPV Power Ngtv Strng Actv Intrel Legal 	
PROHIBITION	Neg Noun Doctr POLIT Power Ngtv Strng Actv Legal 	
PROPRIETOR	Noun HU ECON Econ* Power Legal Strng Role 	
PROSECUTE	IAV Pos SUPV Actv Other Legal Exert 	
PROSECUTION	Neg Noun Hostile Legal Ngtv Actv Strng Comform 	
REGISTRANT	Noun HU Legal Psv Role 	
REGISTRATION	Noun COM Comform Legal 	
REINSTATE	IAV Pos SUPV Actv Other Polit Legal Power 	
REPEAL	IAV Neg SUPV Legal Comform Change 	
RESTRICTION	Neg Noun Stay Legal 	
RIGHT	Pos Noun ABS Abs* Means Legal Power Pstv Strng 	14% noun: Legal or moral prerogative 
RIGHTFUL	IndAdj Pos Modif Ought Legal 	
ROBBER	Neg Noun HU Fetch Hostile Legal 	
ROBBERY	Neg Noun Fetch Hostile Legal 	
RULE	Noun COM Comform Power Strng Legal 	58% noun: Regulation, standard, guideline 
SALUTE	IAV Pos SUPV Actv Other Comform Legal Subm 	
SANCTION	Noun ECON POLIT COM Comform Legal Power Strng 	
SANCTION	IAV SUPV Intrel Legal Power Strng Psv 	
SENTENCE	DAV Neg SUPV Legal Power Ngtv Strng Actv Comform 	
SEQUESTER	IAV Neg SUPV Stay Power Legal 	
SHERIFF	Noun HU POLIT Legal Power Strng Role 	
SOLICITOR	Noun HU ECON Legal Role 	
STATUTE	Noun COM Comform POLIT Legal Power 	
STATUTORY	Modif Doctr POLIT Legal Power 	
STEAL	DAV Neg SUPV Intrel Hostile Ngtv Legal Actv 	60% verb: To rob, thieve 
STIPULATE	IAV SUPV Legal Comform Power 	
STIPULATION	Noun COM Comform Legal Power 	
STOLE	DAV Neg SUPV Intrel ED Hostile Ngtv Actv Legal 	verb: Past tense of steal 
STOLEN	Neg Modif Ngtv Legal Vice 	
STOLEN	IAV Neg SUPV Intrel ED Hostile Ngtv Legal 	
SUIT	Noun COM Comform Legal ECON POLIT 	20% noun: Process of litigation 
SUMMON	Noun Object COM Legal Power Strng Actv Comnobj 	
SUMMON	IAV SUPV Legal Power Strng Actv Comform 	
SUPREME	Noun HU COLL Legal Handels Strng PFREQ 	90% idiom-noun: "Supreme court" - handled by "court" 
SUSPECT	Neg Noun HU Legal Ngtv Role Hostile 	
SWORN	IndAdj Pos Modif Legal Ought 	
TESTAMENT	Noun Object COM Legal Relig Comnobj 	
TESTIFY	IAV SUPV Legal Comform 	
