word	tags	comments
CONSENT	DAV Pos SUPV Subm Pstv Strng Psv Comform 	
CONSTRUCT	DAV SUPV Work Strng Actv 	
CONSUME	DAV SUPV Finish Econ* Actv 	
CONTACT	DAV Pos SUPV Pstv Actv Comform 	1% verb: To communicate with, meet 
CONTAIN	DAV SUPV Rel Strng Actv 	
COOK	DAV SUPV Work 	74% verb: To prepare food or subject anything to the action of heat 
COPY	DAV SUPV Actv Comform 	
COST	DAV Neg SUPV Exch Ngtv Econ* 	33% verb: To require or result in an expenditure 
COUNT	DAV SUPV Solve 	
COUPLE	DAV SUPV Rel 	1% verb: To join or link 
CRACK	DAV SUPV Work Weak Actv 	
CRAWL	DAV SUPV Travl Weak Actv PFREQ 	92% verb: To move laboriously, close to the ground 
CREEP	DAV SUPV Travl Weak Actv 	
CREPT	DAV SUPV Travl ED Weak Actv 	
CROP	DAV SUPV Exert Hostile 	4% verb: To cut off the tops or ends of 
CROSS	DAV SUPV Relig Comform 	3% verb: To make the sign of the cross 
CROUCH	DAV SUPV Stay Subm 	
CROWN	DAV SUPV Complt Polit* Power 	
CRY	DAV SUPV Psv PFREQ Comform 	95% verb: To utter inarticulate or loud sounds, especially of lamentation,  grief, suffering or fright--usually with tears 
CURL	DAV SUPV Work 	
CURTSEY	DAV Pos SUPV Actv Move Intrel 	
CUT	DAV Neg SUPV Exert Hostile Ngtv Strng Actv PFREQ 	88% verb-adj-noun: To penetrate or divide with or as with a sharp-edged  instrument; the resulting penetration or division (3); to isolate, snub,  or humiliate (1); the result of such action (0) 
DANCE	DAV Pos SUPV Exprs Pstv Actv Travl 	49% verb: To move rhythmically 
DAWN	DAV Pos SUPV Begin Pstv 	18% verb: To begin to grow light, to begin to develop 
DECAY	DAV Neg SUPV Decr Ngtv Weak Psv 	
DECREASE	DAV Neg SUPV Decr Ngtv Weak Psv 	
DENT	DAV Neg SUPV Actv Exert 	
DEPART	DAV SUPV Travl Actv 	
DESCEND	DAV SUPV Fall Weak 	verb: To come down 
DESERT	DAV Neg SUPV Intrel Hostile Ngtv 	14% verb: To abandon, forsake 
DIE	DAV SUPV Natpro 	verb: To cease to live, exist or function 
DIG	DAV Pos SUPV Exert Pstv PFREQ 	93% verb: To excavate, to bore into; slang--to understand or appreciate (2) 
DIMINISH	DAV SUPV Decr Weak Psv 	
DIP	DAV SUPV Fall Actv 	
DISAPPEAR	DAV SUPV Percv Psv 	verb: To pass out of sight 
DISLIKE	DAV Neg SUPV Negate Ngtv Psv Hostile Arousal 	71% verb: To have an aversion toward 
DISPERSE	DAV SUPV Travl Actv 	
DISPLAY	DAV SUPV Comform 	
DIVE	DAV SUPV Fall Actv 	
DIVIDE	DAV Neg SUPV Solve Ngtv Strng Actv PFREQ 	83% verb: Separate, classify, parcel out 
DIVORCE	DAV Neg SUPV Intrel Hostile Kin* Legal Ngtv Actv 	14% verb: To separate, usually to dissolve a marriage 
DO	DAV SUPV VERB DO Work Strng Actv 	29% verb: To perform, execute, accomplish, deal with as required 
DONATE	DAV Pos SUPV Actv Exch Exprs Econ Fetch 	
DONE	DAV SUPV VERB DO ED Work Strng 	verb-adj: Completed, finished, performed, executed, dealt with, tried,  accomplished, committed, arranged, fixed. 
DOUBLE	DAV SUPV Incr Strng Actv 	10% verb: To render or become twofold in form, size, amount or number;  serve a dual function (0) 
DRAG	DAV Neg SUPV Exert Hostile Actv Ngtv 	
DRAIN	DAV SUPV Decr 	
DRANK	DAV SUPV ED Actv Natpro 	verb: Past tense of "drink"--imbibed 
DRAW	DAV SUPV Fetch Actv 	70% verb: To pull, move, pull back, extract, attract 
DRAW	DAV SUPV Exprs Comform 	16% verb: To sketch, depict, compose; to form or make (abstract)--"to  draw a conclusion or analogy 
DREAM	DAV SUPV Psv Natpro 	56% verb: To create fantasies, to create or recreate by conscious or subconscious  imagination 
DREAMT	DAV SUPV ED Psv Natpro 	verb: Past tense of dream. 
DRESS	DAV SUPV Work Actv 	18% verb: To put on clothing, give a finish to 
DREW	DAV SUPV ED 	
DRINK	DAV SUPV Actv Natpro 	68% verb: To imbibe 
DRIP	DAV SUPV Natpro 	
DRIVE	DAV SUPV Work Power Actv 	55% verb: To direct or steer, usually a car; to mean--"what is he driving at?" (0) 
DRIZZLE	DAV SUPV Natpro 	
DROOP	DAV Neg SUPV Psv Weak Fail 	
DROP	DAV Neg SUPV Fall Ngtv Weak Psv 	32% verb: To fall--intransitive 
DROP	DAV Neg SUPV Fail Ngtv Weak Actv 	56% verb: To let fall, give up--transitive 
DROVE	DAV SUPV Work ED Power Actv PFREQ 	88% verb: Past tense of "drive" (sense 1) 
DROWN	DAV Neg SUPV Ngtv Weak Psv Natpro 	verb: To die by suffocation in water, generally by accident 
DRUNK	DAV SUPV ED Natpro 	7% verb: Imbibed (past tense of "drink") 
DRY	DAV SUPV Natpro 	35% verb: To make free from moisture 
DWELL	DAV SUPV Stay Psv 	
EAT	DAV SUPV Actv PFREQ Natpro 	98% verb: To devour 
ECHO	DAV SUPV Percv 	
ELECT	DAV SUPV Intrel Polit* Actv Power 	verb: To choose, usually by vote 
ELEVATE	DAV SUPV Rise Strng Actv 	
EMPTY	DAV Neg SUPV Decr Ngtv Actv 	4% verb: To void 
END	DAV SUPV Finish Actv 	29% verb: To finish, terminate 
